year,ethnicity,age_group,count,median_age
2011,亞洲人（非華人）,< 15,23984,33.6
2011,亞洲人（非華人）,15 - 24,25650,33.6
2011,亞洲人（非華人）,25 - 34,152228,33.6
2011,亞洲人（非華人）,35 - 44,103841,33.6
2011,亞洲人（非華人）,45 - 54,41396,33.6
2011,亞洲人（非華人）,55 - 64,13196,33.6
2011,亞洲人（非華人）,65+,5316,33.6
2011,亞洲人（非華人）,"總計
Total",365611,33.6
2011,菲律賓人,< 15,2918,37.7
2011,菲律賓人,15 - 24,4016,37.7
2011,菲律賓人,25 - 34,45840,37.7
2011,菲律賓人,35 - 44,48555,37.7
2011,菲律賓人,45 - 54,25243,37.7
2011,菲律賓人,55 - 64,5768,37.7
2011,菲律賓人,65+,678,37.7
2011,菲律賓人,"總計
Total",133018,37.7
2011,印尼人,< 15,302,30.7
2011,印尼人,15 - 24,12405,30.7
2011,印尼人,25 - 34,85764,30.7
2011,印尼人,35 - 44,31846,30.7
2011,印尼人,45 - 54,2255,30.7
2011,印尼人,55 - 64,483,30.7
2011,印尼人,65+,322,30.7
2011,印尼人,"總計
Total",133377,30.7
2011,南亞裔人士,< 15,16824,31.2
2011,南亞裔人士,15 - 24,7812,31.2
2011,南亞裔人士,25 - 34,15271,31.2
2011,南亞裔人士,35 - 44,13388,31.2
2011,南亞裔人士,45 - 54,6110,31.2
2011,南亞裔人士,55 - 64,3204,31.2
2011,南亞裔人士,65+,2912,31.2
2011,南亞裔人士,"總計
Total",65521,31.2
2011,印度人,< 15,5767,33.0
2011,印度人,15 - 24,2965,33.0
2011,印度人,25 - 34,7175,33.0
2011,印度人,35 - 44,5880,33.0
2011,印度人,45 - 54,3113,33.0
2011,印度人,55 - 64,1756,33.0
2011,印度人,65+,1960,33.0
2011,印度人,"總計
Total",28616,33.0
2011,Indian,< 15,20.2,
2011,Indian,15 - 24,10.4,
2011,Indian,25 - 34,25.1,
2011,Indian,35 - 44,20.5,
2011,Indian,45 - 54,10.9,
2011,Indian,55 - 64,6.1,
2011,Indian,65+,6.8,
2011,Indian,"總計
Total",100.0,
2011,尼泊爾人,< 15,3562,32.1
2011,尼泊爾人,15 - 24,2521,32.1
2011,尼泊爾人,25 - 34,3923,32.1
2011,尼泊爾人,35 - 44,3850,32.1
2011,尼泊爾人,45 - 54,1836,32.1
2011,尼泊爾人,55 - 64,474,32.1
2011,尼泊爾人,65+,352,32.1
2011,尼泊爾人,"總計
Total",16518,32.1
2011,Nepalese,< 15,21.6,
2011,Nepalese,15 - 24,15.3,
2011,Nepalese,25 - 34,23.7,
2011,Nepalese,35 - 44,23.3,
2011,Nepalese,45 - 54,11.1,
2011,Nepalese,55 - 64,2.9,
2011,Nepalese,65+,2.1,
2011,Nepalese,"總計
Total",100.0,
2011,巴基斯坦人,< 15,7148,24.2
2011,巴基斯坦人,15 - 24,2130,24.2
2011,巴基斯坦人,25 - 34,3678,24.2
2011,巴基斯坦人,35 - 44,3068,24.2
2011,巴基斯坦人,45 - 54,816,24.2
2011,巴基斯坦人,55 - 64,627,24.2
2011,巴基斯坦人,65+,575,24.2
2011,巴基斯坦人,"總計
Total",18042,24.2
2011,Pakistani,< 15,39.6,
2011,Pakistani,15 - 24,11.8,
2011,Pakistani,25 - 34,20.4,
2011,Pakistani,35 - 44,17.0,
2011,Pakistani,45 - 54,4.5,
2011,Pakistani,55 - 64,3.5,
2011,Pakistani,65+,3.2,
2011,Pakistani,"總計
Total",100.0,
2011,其他南亞裔人士[2],< 15,347,37.7
2011,其他南亞裔人士[2],15 - 24,196,37.7
2011,其他南亞裔人士[2],25 - 34,495,37.7
2011,其他南亞裔人士[2],35 - 44,590,37.7
2011,其他南亞裔人士[2],45 - 54,345,37.7
2011,其他南亞裔人士[2],55 - 64,347,37.7
2011,其他南亞裔人士[2],65+,25,37.7
2011,其他南亞裔人士[2],"總計
Total",2345,37.7
2011,泰國人,< 15,398,44.6
2011,泰國人,15 - 24,266,44.6
2011,泰國人,25 - 34,1540,44.6
2011,泰國人,35 - 44,3563,44.6
2011,泰國人,45 - 54,3405,44.6
2011,泰國人,55 - 64,1656,44.6
2011,泰國人,65+,385,44.6
2011,泰國人,"總計
Total",11213,44.6
2011,日本人,< 15,2152,40.1
2011,日本人,15 - 24,377,40.1
2011,日本人,25 - 34,1724,40.1
2011,日本人,35 - 44,3893,40.1
2011,日本人,45 - 54,2694,40.1
2011,日本人,55 - 64,1244,40.1
2011,日本人,65+,496,40.1
2011,日本人,"總計
Total",12580,40.1
2011,韓國人,< 15,897,38.0
2011,韓國人,15 - 24,290,38.0
2011,韓國人,25 - 34,958,38.0
2011,韓國人,35 - 44,1552,38.0
2011,韓國人,45 - 54,854,38.0
2011,韓國人,55 - 64,463,38.0
2011,韓國人,65+,195,38.0
2011,韓國人,"總計
Total",5209,38.0
2011,其他亞洲人,< 15,493,37.3
2011,其他亞洲人,15 - 24,484,37.3
2011,其他亞洲人,25 - 34,1131,37.3
2011,其他亞洲人,35 - 44,1044,37.3
2011,其他亞洲人,45 - 54,835,37.3
2011,其他亞洲人,55 - 64,378,37.3
2011,其他亞洲人,65+,328,37.3
2011,其他亞洲人,"總計
Total",4693,37.3
2011,白人,< 15,9295,38.5
2011,白人,15 - 24,4031,38.5
2011,白人,25 - 34,9512,38.5
2011,白人,35 - 44,13197,38.5
2011,白人,45 - 54,10149,38.5
2011,白人,55 - 64,5855,38.5
2011,白人,65+,3197,38.5
2011,白人,"總計
Total",55236,38.5
2011,White,< 15,16.8,
2011,White,15 - 24,7.3,
2011,White,25 - 34,17.2,
2011,White,35 - 44,23.9,
2011,White,45 - 54,18.4,
2011,White,55 - 64,10.6,
2011,White,65+,5.8,
2011,White,"總計
Total",100.0,
2011,混血兒,< 15,10826,21.0
2011,混血兒,15 - 24,5007,21.0
2011,混血兒,25 - 34,4163,21.0
2011,混血兒,35 - 44,3330,21.0
2011,混血兒,45 - 54,2898,21.0
2011,混血兒,55 - 64,1380,21.0
2011,混血兒,65+,1397,21.0
2011,混血兒,"總計
Total",29001,21.0
2011,華人父或母,< 15,8429,22.9
2011,華人父或母,15 - 24,4449,22.9
2011,華人父或母,25 - 34,3544,22.9
2011,華人父或母,35 - 44,2899,22.9
2011,華人父或母,45 - 54,2688,22.9
2011,華人父或母,55 - 64,1321,22.9
2011,華人父或母,65+,1319,22.9
2011,華人父或母,"總計
Total",24649,22.9
2011,其他混血兒,< 15,2397,13.4
2011,其他混血兒,15 - 24,558,13.4
2011,其他混血兒,25 - 34,619,13.4
2011,其他混血兒,35 - 44,431,13.4
2011,其他混血兒,45 - 54,210,13.4
2011,其他混血兒,55 - 64,59,13.4
2011,其他混血兒,65+,78,13.4
2011,其他混血兒,"總計
Total",4352,13.4
2011,其他[3],< 15,215,34.9
2011,其他[3],15 - 24,80,34.9
2011,其他[3],25 - 34,380,34.9
2011,其他[3],35 - 44,453,34.9
2011,其他[3],45 - 54,158,34.9
2011,其他[3],55 - 64,49,34.9
2011,其他[3],65+,-,34.9
2011,其他[3],"總計
Total",1335,34.9
2011,所有少數族裔人士,< 15,44320,33.7
2011,所有少數族裔人士,15 - 24,34768,33.7
2011,所有少數族裔人士,25 - 34,166283,33.7
2011,所有少數族裔人士,35 - 44,120821,33.7
2011,所有少數族裔人士,45 - 54,54601,33.7
2011,所有少數族裔人士,55 - 64,20480,33.7
2011,所有少數族裔人士,65+,9910,33.7
2011,所有少數族裔人士,"總計
Total",451183,33.7
2011,All ethnic minorities,< 15,9.8,
2011,All ethnic minorities,15 - 24,7.7,
2011,All ethnic minorities,25 - 34,36.9,
2011,All ethnic minorities,35 - 44,26.8,
2011,All ethnic minorities,45 - 54,12.1,
2011,All ethnic minorities,55 - 64,4.5,
2011,All ethnic minorities,65+,2.2,
2011,All ethnic minorities,"總計
Total",100.0,
2011,撇除外籍家庭傭工後的所有少數族裔人士,< 15,44320,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,15 - 24,19536,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,25 - 34,35835,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,35 - 44,43393,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,45 - 54,28907,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,55 - 64,15333,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,65+,9698,34.7
2011,撇除外籍家庭傭工後的所有少數族裔人士,"總計
Total",197022,34.7
2011,"All ethnic minorities, excluding foreign domestic helpers",< 15,22.5,
2011,"All ethnic minorities, excluding foreign domestic helpers",15 - 24,9.9,
2011,"All ethnic minorities, excluding foreign domestic helpers",25 - 34,18.2,
2011,"All ethnic minorities, excluding foreign domestic helpers",35 - 44,22.0,
2011,"All ethnic minorities, excluding foreign domestic helpers",45 - 54,14.7,
2011,"All ethnic minorities, excluding foreign domestic helpers",55 - 64,7.8,
2011,"All ethnic minorities, excluding foreign domestic helpers",65+,4.9,
2011,"All ethnic minorities, excluding foreign domestic helpers","總計
Total",100.0,
2011,全港人口,< 15,823560,41.7
2011,全港人口,15 - 24,875234,41.7
2011,全港人口,25 - 34,1084120,41.7
2011,全港人口,35 - 44,1135285,41.7
2011,全港人口,45 - 54,1289430,41.7
2011,全港人口,55 - 64,922635,41.7
2011,全港人口,65+,941312,41.7
2011,全港人口,"總計
Total",7071576,41.7
2011,Whole population,< 15,11.6,
2011,Whole population,15 - 24,12.4,
2011,Whole population,25 - 34,15.3,
2011,Whole population,35 - 44,16.1,
2011,Whole population,45 - 54,18.2,
2011,Whole population,55 - 64,13.0,
2011,Whole population,65+,13.3,
2011,Whole population,"總計
Total",100.0,
